[2013-11-16 18:43:14] DarkRift, joining. (#selenium)
[2013-11-16 18:43:14] DarkRift, quitting. (Changing host)
[2013-11-16 18:43:14] DarkRift, joining. (#selenium)
[2013-11-16 18:52:25] mfeltner, joining. (#selenium)
[2013-11-16 18:54:07] admc, quitting. (Quit: Leaving.)
[2013-11-16 18:54:13] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 18:57:39] mboman|AFK, joining. (#selenium)
[2013-11-16 19:00:46] noahsussman, joining. (#selenium)
[2013-11-16 19:05:11] noahsussman, quitting. (Ping timeout: 245 seconds)
[2013-11-16 19:25:13] Grennich, joining. (#selenium)
[2013-11-16 19:29:06] p0deje, joining. (#selenium)
[2013-11-16 19:40:00] markboxall, joining. (#selenium)
[2013-11-16 19:44:13] jleyba, joining. (#selenium)
[2013-11-16 19:44:36] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-16 19:44:59] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 19:48:04] mboman|AFK, joining. (#selenium)
[2013-11-16 19:51:45] jleyba, quitting. (Quit: jleyba)
[2013-11-16 19:56:08] p0deje, quitting. (Quit: p0deje)
[2013-11-16 20:01:15] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-16 20:01:36] mboman|AFK, joining. (#selenium)
[2013-11-16 20:04:00] DarkRift, quitting. (Ping timeout: 268 seconds)
[2013-11-16 20:06:48] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-16 20:07:51] mboman|AFK, joining. (#selenium)
[2013-11-16 20:20:21] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 20:21:03] mboman|AFK, joining. (#selenium)
[2013-11-16 20:22:59] stephend, joining. (#selenium)
[2013-11-16 20:28:22] stephend, quitting. (Quit: Leaving...)
[2013-11-16 20:28:28] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-16 20:28:56] mboman|AFK_, joining. (#selenium)
[2013-11-16 20:29:06] mboman|AFK_, changing nick to mboman|AFK.
[2013-11-16 20:51:43] mboman|AFK, quitting. (Ping timeout: 260 seconds)
[2013-11-16 20:52:04] mboman|AFK, joining. (#selenium)
[2013-11-16 21:08:34] jezuz, quitting. (Quit: Connection closed for inactivity)
[2013-11-16 21:19:16] Solian, joining. (#selenium)
[2013-11-16 21:26:11] Archdude, quitting. (Read error: Connection reset by peer)
[2013-11-16 21:28:52] markboxall, joining. (#selenium)
[2013-11-16 21:30:54] DrJenkins, joining. (#selenium)
[2013-11-16 21:32:01] Archdude, joining. (#selenium)
[2013-11-16 21:33:30] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-16 21:33:44] DrJenkins, quitting. (Read error: Operation timed out)
[2013-11-16 21:59:25] PaulB010101, joining. (#selenium)
[2013-11-16 22:02:21] PaulB010101, quitting. (Remote host closed the connection)
[2013-11-16 22:02:53] PaulB010101, joining. (#selenium)
[2013-11-16 22:07:57] mboman|AFK, quitting. (Ping timeout: 268 seconds)
[2013-11-16 22:11:39] SamuraiJack, joining. (#selenium)
[2013-11-16 22:12:04] mboman|AFK, joining. (#selenium)
[2013-11-16 22:13:17] stephend, joining. (#selenium)
[2013-11-16 22:15:32] jibay, quitting. (Remote host closed the connection)
[2013-11-16 22:28:17] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 22:32:01] mboman|AFK, joining. (#selenium)
[2013-11-16 22:38:24] mboman|AFK, quitting. (Ping timeout: 265 seconds)
[2013-11-16 22:42:52] mboman|AFK, joining. (#selenium)
[2013-11-16 22:56:09] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 22:58:25] admc, joining. (#selenium)
[2013-11-16 22:59:26] mboman|AFK, joining. (#selenium)
[2013-11-16 23:11:15] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-16 23:16:05] mboman|AFK, joining. (#selenium)
[2013-11-16 23:17:43] markboxall, joining. (#selenium)
[2013-11-16 23:19:42] Solian, quitting. (Remote host closed the connection)
[2013-11-16 23:22:24] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-16 23:22:31] mboman|AFK, quitting. (Ping timeout: 240 seconds)
[2013-11-16 23:24:46] mboman|AFK, joining. (#selenium)
[2013-11-16 23:35:36] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-16 23:39:57] mboman|AFK, joining. (#selenium)
[2013-11-16 23:45:01] mboman|AFK, quitting. (Ping timeout: 272 seconds)
[2013-11-16 23:45:21] stephend, quitting. (Quit: Leaving...)
[2013-11-16 23:45:51] mboman|AFK, joining. (#selenium)
[2013-11-16 23:51:47] SamuraiJack_, joining. (#selenium)
[2013-11-16 23:53:45] SamuraiJack, quitting. (Ping timeout: 252 seconds)
