[2013-11-24 13:59:16] mboman|AFK, quitting. (Ping timeout: 264 seconds)
[2013-11-24 13:59:33] mboman|AFK, joining. (#selenium)
[2013-11-24 14:00:09] gittish, quitting. (Quit: gittish)
[2013-11-24 14:02:15] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 14:08:51] Shai-Tan, joining. (#selenium)
[2013-11-24 14:15:08] mboman|AFK, quitting. (Ping timeout: 245 seconds)
[2013-11-24 14:15:27] mboman|AFK, joining. (#selenium)
[2013-11-24 14:32:06] noahsussman, joining. (#selenium)
[2013-11-24 14:32:13] PaulB010101, quitting. (Ping timeout: 245 seconds)
[2013-11-24 14:40:00] nsussman, joining. (#selenium)
[2013-11-24 14:40:16] mreedell-work, joining. (#selenium)
[2013-11-24 14:40:27] noahsussman, quitting. (Read error: Connection reset by peer)
[2013-11-24 14:46:27] jimpurbrick, joining. (#selenium)
[2013-11-24 14:52:57] dimacus, joining. (#selenium)
[2013-11-24 14:53:28] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2013-11-24 14:55:37] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-11-24 14:57:47] dimacus, quitting. (Ping timeout: 272 seconds)
[2013-11-24 15:40:53] mreedell-work, joining. (#selenium)
[2013-11-24 15:46:32] markboxall, joining. (#selenium)
[2013-11-24 15:46:59] jimpurbrick, joining. (#selenium)
[2013-11-24 15:49:37] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-11-24 15:51:09] markboxall, quitting. (Ping timeout: 252 seconds)
[2013-11-24 15:55:41] jimpurbrick, quitting. (Ping timeout: 272 seconds)
[2013-11-24 16:18:23] Shai-Tan, quitting. (Ping timeout: 252 seconds)
[2013-11-24 16:47:29] jimpurbrick, joining. (#selenium)
[2013-11-24 16:54:16] mreedell-work, joining. (#selenium)
[2013-11-24 16:56:15] jimpurbrick, quitting. (Ping timeout: 245 seconds)
[2013-11-24 16:57:52] nsussman, quitting. (Remote host closed the connection)
[2013-11-24 17:00:37] noahsussman, joining. (#selenium)
[2013-11-24 17:08:05] noahsussman, quitting. (Remote host closed the connection)
[2013-11-24 17:12:17] stephend, joining. (#selenium)
[2013-11-24 17:35:22] markboxall, joining. (#selenium)
[2013-11-24 17:39:06] noahsussman, joining. (#selenium)
[2013-11-24 17:40:04] markboxall, quitting. (Ping timeout: 264 seconds)
[2013-11-24 17:43:15] dimacus, joining. (#selenium)
[2013-11-24 17:43:27] dimacus, leaving. (#selenium)
[2013-11-24 17:45:26] AutomatedTester, quitting. (Ping timeout: 240 seconds)
[2013-11-24 17:47:04] jcp, quitting. (Ping timeout: 260 seconds)
[2013-11-24 17:47:12] noahsussman, quitting. (Ping timeout: 246 seconds)
[2013-11-24 17:48:03] jimpurbrick, joining. (#selenium)
[2013-11-24 17:48:18] JackDandy, quitting. (Ping timeout: 246 seconds)
[2013-11-24 17:49:11] JackDandy, joining. (#selenium)
[2013-11-24 17:54:04] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-11-24 18:02:50] mreedell-work, joining. (#selenium)
[2013-11-24 18:14:27] noahsussman, joining. (#selenium)
[2013-11-24 18:15:46] stephend, quitting. (Read error: No route to host)
[2013-11-24 18:16:17] stephend, joining. (#selenium)
