[2013-10-20 16:30:35] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 16:40:55] admc, joining. (#selenium)
[2013-10-20 16:52:31] mehwork, joining. (#selenium)
[2013-10-20 16:57:35] jarib: evanton: no, but you can use get_attribute('innerHTML') or whatever it is in python
[2013-10-20 16:57:59] DrJenkins, joining. (#selenium)
[2013-10-20 16:59:07] jarib: or outerHTML
[2013-10-20 17:01:09] mehwork, quitting. (Ping timeout: 248 seconds)
[2013-10-20 17:02:16] DrJenkins, quitting. (Ping timeout: 256 seconds)
[2013-10-20 17:07:51] eaj, joining. (#selenium)
[2013-10-20 17:12:04] eaj, quitting. (Read error: Operation timed out)
[2013-10-20 17:17:56] eaj, joining. (#selenium)
[2013-10-20 17:20:32] evanton: jarib: as in element.get_attribute()?
[2013-10-20 17:20:54] evanton: jarib: going to try that, thanks
[2013-10-20 17:21:02] DrJenkins, joining. (#selenium)
[2013-10-20 17:22:53] eaj, quitting. (Ping timeout: 272 seconds)
[2013-10-20 17:25:41] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 17:40:47] tobie, quitting. (Quit: tobie)
[2013-10-20 17:44:16] admc, quitting. (Quit: Leaving.)
[2013-10-20 17:53:43] evanton, quitting. (Quit: leaving)
[2013-10-20 18:09:39] p_l, quitting. (Read error: Operation timed out)
[2013-10-20 18:12:32] p_l, joining. (#selenium)
[2013-10-20 18:19:22] eaj, joining. (#selenium)
[2013-10-20 18:21:15] DrJenkins, joining. (#selenium)
[2013-10-20 18:23:52] eaj, quitting. (Ping timeout: 256 seconds)
[2013-10-20 18:25:51] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-10-20 18:26:19] mehwork, joining. (#selenium)
[2013-10-20 18:53:42] DrJenkins, joining. (#selenium)
[2013-10-20 18:58:04] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-10-20 19:02:24] rickd, quitting. (Ping timeout: 256 seconds)
[2013-10-20 19:12:04] DrJenkins, joining. (#selenium)
[2013-10-20 19:16:53] DrJenkins, quitting. (Ping timeout: 272 seconds)
