[2013-10-12 22:15:26] plightb__, quitting. (Ping timeout: 240 seconds)
[2013-10-12 22:17:28] stephend, joining. (#selenium)
[2013-10-12 22:22:41] Archdude_, joining. (#selenium)
[2013-10-12 22:23:28] Archdude, quitting. (Ping timeout: 240 seconds)
[2013-10-12 22:23:28] Archdude_, changing nick to Archdude.
[2013-10-12 22:28:19] stephend, quitting. (Remote host closed the connection)
[2013-10-12 22:42:40] dimacus, joining. (#selenium)
[2013-10-12 22:51:46] dimacus, quitting. (Ping timeout: 265 seconds)
[2013-10-12 23:12:18] plightbo_work, joining. (#selenium)
[2013-10-12 23:16:36] plightbo_work, quitting. (Ping timeout: 252 seconds)
[2013-10-12 23:50:39] bpayton, quitting. (Quit: Computer has gone to sleep.)
[2013-10-12 23:52:21] dimacus, joining. (#selenium)
[2013-10-12 23:56:38] dimacus, quitting. (Ping timeout: 240 seconds)
