[2013-05-05 09:44:35] admc1, quitting. (Ping timeout: 260 seconds)
[2013-05-05 09:59:00] robpark, joining. (#selenium)
[2013-05-05 10:03:38] robpark, quitting. (Ping timeout: 256 seconds)
[2013-05-05 10:06:06] jacksoncage, quitting. (Quit: Computer has gone to sleep.)
[2013-05-05 10:10:02] freynaud_, joining. (#selenium)
[2013-05-05 10:10:27] admc1, joining. (#selenium)
[2013-05-05 10:11:17] freynaud, quitting. (Read error: Operation timed out)
[2013-05-05 10:11:18] freynaud_, changing nick to freynaud.
[2013-05-05 10:11:28] phishy, joining. (#selenium)
[2013-05-05 10:15:07] admc1, quitting. (Ping timeout: 256 seconds)
[2013-05-05 10:19:58] admc1, joining. (#selenium)
[2013-05-05 10:23:29] Stephen, joining. (#selenium)
[2013-05-05 10:29:41] robpark, joining. (#selenium)
[2013-05-05 10:34:18] robpark, quitting. (Ping timeout: 264 seconds)
[2013-05-05 11:09:57] ryanpetrello, quitting. (Remote host closed the connection)
[2013-05-05 11:11:43] Swadq, joining. (#selenium)
[2013-05-05 11:12:51] admc1, quitting. (Quit: Leaving.)
[2013-05-05 11:20:13] FullTiltProspect, joining. (#selenium)
[2013-05-05 11:20:38] hamy, joining. (#selenium)
[2013-05-05 11:22:27] hamy: can anyonne help me with selenium :(
[2013-05-05 11:22:27] new, joining. (#selenium)
[2013-05-05 11:22:50] hamy: can anyonne help me with selenium :(
[2013-05-05 11:24:11] hamy: anyone there ????
[2013-05-05 11:24:24] hamy: r these all bots?
[2013-05-05 11:25:23] new, quitting. (Client Quit)
[2013-05-05 11:25:38] hamy, quitting. (Quit: Page closed)
[2013-05-05 11:31:14] robpark, joining. (#selenium)
[2013-05-05 11:35:44] robpark, quitting. (Ping timeout: 256 seconds)
[2013-05-05 11:36:23] FullTiltProspec1, joining. (#selenium)
[2013-05-05 11:43:14] ryanpetrello, joining. (#selenium)
[2013-05-05 11:44:15] coreygriggs, joining. (#selenium)
[2013-05-05 11:49:59] dross: hey, answer my question within 3 minutes, kthnxbai, *parts channel*
[2013-05-05 11:54:04] ryanpetrello, quitting. (Remote host closed the connection)
[2013-05-05 12:00:09] KaibutsuX, quitting. (Ping timeout: 256 seconds)
[2013-05-05 12:00:24] KaibutsuX, joining. (#selenium)
[2013-05-05 12:02:59] Ardesco_Home, joining. (#selenium)
[2013-05-05 12:03:53] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-05-05 12:23:02] phishy, joining. (#selenium)
[2013-05-05 12:27:42] Swadq, quitting. (Quit: Bai everyone)
[2013-05-05 12:29:48] stackedsax, joining. (#selenium)
[2013-05-05 12:40:42] Selenium-Git, joining. (#selenium)
[2013-05-05 12:40:42] Selenium-Git: 01[13selenium01] 15selenium-ci pushed 2 new commits to 06master: 02http://git.io/2nMdug
[2013-05-05 12:40:42] Selenium-Git: 13selenium/06master 143e5e765 15Alexei Barantsev: Adding *.json to the list of resources (this allows to run server tests...
[2013-05-05 12:40:42] Selenium-Git: 13selenium/06master 142edd481 15Alexei Barantsev: Checking a node status when attempting to create a new session. This...
[2013-05-05 12:40:42] Selenium-Git, leaving. (#selenium)
[2013-05-05 12:58:40] seljenkinsbot: Project Chrome XP Java Tests build #2612: UNSTABLE in 9 min 32 sec: http://ci.seleniumhq.org:8080/job/Chrome%20XP%20Java%20Tests/2612/
[2013-05-05 13:03:27] robpark, joining. (#selenium)
[2013-05-05 13:07:48] robpark, quitting. (Ping timeout: 256 seconds)
[2013-05-05 13:17:21] seljenkinsbot: Project Firefox 19 Linux Native Java Tests build #204: FIXED in 11 min: http://ci.seleniumhq.org:8080/job/Firefox%2019%20Linux%20Native%20Java%20Tests/204/
[2013-05-05 13:23:54] seljenkinsbot: Project Firefox 20 Linux Synthesized Java Tests build #827: FIXED in 9 min 16 sec: http://ci.seleniumhq.org:8080/job/Firefox%2020%20Linux%20Synthesized%20Java%20Tests/827/
[2013-05-05 13:26:28] barancev: :changelog
[2013-05-05 13:26:28] selbot2_: .NET: http://goo.gl/zBIjE | Java: http://goo.gl/5B23U | Ruby: http://goo.gl/yN6Qm | Python: http://goo.gl/7BtCb | IDE: http://goo.gl/50vLB
[2013-05-05 13:28:16] seljenkinsbot: Project Firefox 20 XP Native Java Tests build #827: UNSTABLE in 11 min: http://ci.seleniumhq.org:8080/job/Firefox%2020%20XP%20Native%20Java%20Tests/827/
[2013-05-05 13:37:38] seljenkinsbot: Project IE 7 Java Tests build #2585: UNSTABLE in 12 min: http://ci.seleniumhq.org:8080/job/IE%207%20Java%20Tests/2585/
[2013-05-05 13:42:02] coreygriggs, quitting. (Quit: coreygriggs)
[2013-05-05 13:47:20] Stephen, quitting. (Ping timeout: 252 seconds)
[2013-05-05 14:15:49] plightbo, joining. (#selenium)
[2013-05-05 14:19:54] ryanpetrello, joining. (#selenium)
[2013-05-05 14:29:26] plightbo, quitting. (Remote host closed the connection)
[2013-05-05 14:33:25] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-05-05 14:35:00] Stephen, joining. (#selenium)
[2013-05-05 14:35:43] robpark, joining. (#selenium)
[2013-05-05 14:40:10] robpark, quitting. (Ping timeout: 256 seconds)
[2013-05-05 14:40:24] freynaud, quitting. (Quit: freynaud)
[2013-05-05 14:56:49] phishy, joining. (#selenium)
[2013-05-05 15:00:52] plightbo, joining. (#selenium)
[2013-05-05 15:00:58] smccarthy, quitting. (Remote host closed the connection)
[2013-05-05 15:06:58] plightbo, quitting. (Ping timeout: 268 seconds)
[2013-05-05 15:17:33] qdos, joining. (#selenium)
[2013-05-05 15:18:07] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-05-05 15:21:08] phishy, joining. (#selenium)
[2013-05-05 15:21:08] phishy, quitting. (Client Quit)
[2013-05-05 15:22:27] phishy, joining. (#selenium)
[2013-05-05 15:23:53] phishy, quitting. (Client Quit)
[2013-05-05 15:44:50] llaskin, joining. (#selenium)
[2013-05-05 15:54:27] santiycr, joining. (#selenium)
[2013-05-05 16:00:22] plightbo, joining. (#selenium)
[2013-05-05 16:02:54] plightbo, quitting. (Read error: Connection reset by peer)
[2013-05-05 16:03:12] plightbo, joining. (#selenium)
[2013-05-05 16:08:55] kedoodek, joining. (#selenium)
[2013-05-05 16:12:18] plightbo, quitting. (Read error: Connection reset by peer)
[2013-05-05 16:12:49] plightbo, joining. (#selenium)
[2013-05-05 16:17:21] barancev, quitting. (Read error: Connection reset by peer)
[2013-05-05 16:17:21] barancev, joining. (#selenium)
[2013-05-05 16:18:20] AutomatedTester, quitting. (Ping timeout: 246 seconds)
[2013-05-05 16:19:02] krosenvold__, quitting. (Ping timeout: 246 seconds)
[2013-05-05 16:19:24] andreastt, quitting. (Ping timeout: 246 seconds)
[2013-05-05 16:21:37] AutomatedTester, joining. (#selenium)
[2013-05-05 16:23:19] sburjan, quitting. (Ping timeout: 264 seconds)
[2013-05-05 16:27:27] andreastt, joining. (#selenium)
[2013-05-05 16:30:40] tinygeo, joining. (#selenium)
[2013-05-05 16:39:47] sburjan, joining. (#selenium)
[2013-05-05 16:46:21] admc1, joining. (#selenium)
[2013-05-05 16:50:15] ryanpetrello, quitting. (Remote host closed the connection)
[2013-05-05 17:17:55] farlan, joining. (#selenium)
[2013-05-05 17:22:51] plightbo, quitting. (Remote host closed the connection)
[2013-05-05 17:34:32] plightbo, joining. (#selenium)
[2013-05-05 17:34:59] smccarthy, joining. (#selenium)
[2013-05-05 17:36:01] nirvdrum, quitting. (Remote host closed the connection)
[2013-05-05 17:44:09] plightbo, quitting. (Remote host closed the connection)
[2013-05-05 18:06:46] stackedsax, quitting. (Quit: Leaving.)
[2013-05-05 18:10:59] robpark, joining. (#selenium)
[2013-05-05 18:15:08] krosenvold__, joining. (#selenium)
[2013-05-05 18:15:30] robpark, quitting. (Ping timeout: 256 seconds)
[2013-05-05 18:38:07] robpark, joining. (#selenium)
[2013-05-05 18:44:30] plightbo, joining. (#selenium)
[2013-05-05 18:48:47] plightbo, quitting. (Ping timeout: 255 seconds)
[2013-05-05 18:54:43] plightbo, joining. (#selenium)
[2013-05-05 18:59:26] plightbo, quitting. (Ping timeout: 256 seconds)
[2013-05-05 19:08:53] phishy, joining. (#selenium)
[2013-05-05 19:11:36] brettporter, joining. (#selenium)
[2013-05-05 19:11:45] FullTiltProspec1, quitting. (Quit: Leaving.)
[2013-05-05 19:13:57] Ardesco_Home, quitting. (Read error: Operation timed out)
[2013-05-05 19:15:01] FullTiltProspect, quitting. (Quit: FullTiltProspect)
[2013-05-05 19:22:16] phishy, quitting. (Quit: Computer has gone to sleep.)
[2013-05-05 19:30:54] admc1, quitting. (Quit: Leaving.)
[2013-05-05 19:40:38] admc1, joining. (#selenium)
[2013-05-05 19:40:42] coreygriggs, joining. (#selenium)
[2013-05-05 19:50:03] admc1, quitting. (Quit: Leaving.)
[2013-05-05 19:58:57] coreygriggs, quitting. (Quit: coreygriggs)
[2013-05-05 20:00:54] santiycr, quitting. (Quit: Leaving.)
[2013-05-05 20:32:36] o3u, leaving. (#selenium)
[2013-05-05 21:00:22] ShawnM, joining. (#selenium)
[2013-05-05 21:17:28] plightbo, joining. (#selenium)
