[2015-08-01 21:00:44] ishana_, joining. (#selenium)
[2015-08-01 21:00:44] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:02:23] ishana, joining. (#selenium)
[2015-08-01 21:02:30] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:04:06] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:04:12] ishana_, joining. (#selenium)
[2015-08-01 21:06:01] ishana, joining. (#selenium)
[2015-08-01 21:07:50] ishana__, joining. (#selenium)
[2015-08-01 21:09:17] ishana_, quitting. (Ping timeout: 265 seconds)
[2015-08-01 21:09:30] ishana__, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:09:39] ishana_, joining. (#selenium)
[2015-08-01 21:10:52] ishana, quitting. (Ping timeout: 244 seconds)
[2015-08-01 21:11:01] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:11:26] ishana, joining. (#selenium)
[2015-08-01 21:13:14] ishana_, joining. (#selenium)
[2015-08-01 21:13:27] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:14:36] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:15:01] ishana, joining. (#selenium)
[2015-08-01 21:16:49] ishana_, joining. (#selenium)
[2015-08-01 21:18:30] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:18:36] ishana_, joining. (#selenium)
[2015-08-01 21:19:55] ishana, quitting. (Ping timeout: 265 seconds)
[2015-08-01 21:20:21] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:20:24] ishana, joining. (#selenium)
[2015-08-01 21:22:13] ishana_, joining. (#selenium)
[2015-08-01 21:23:37] ishana_, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:23:42] ishana, quitting. (Read error: Connection reset by peer)
[2015-08-01 21:24:01] ishana, joining. (#selenium)
[2015-08-01 21:24:13] ishana, quitting. (Remote host closed the connection)
[2015-08-01 21:24:27] ishana, joining. (#selenium)
[2015-08-01 21:24:28] ishana, quitting. (Remote host closed the connection)
[2015-08-01 21:24:55] ishana, joining. (#selenium)
[2015-08-01 21:39:48] oida, quitting. (Ping timeout: 244 seconds)
[2015-08-01 21:43:19] oida, joining. (#selenium)
[2015-08-01 21:59:34] ishana, quitting. (Remote host closed the connection)
[2015-08-01 21:59:41] ishana, joining. (#selenium)
[2015-08-01 22:00:19] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:00:25] ishana, joining. (#selenium)
[2015-08-01 22:01:00] mekhami, leaving. ("WeeChat 1.1.1")
[2015-08-01 22:01:04] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:01:11] ishana, joining. (#selenium)
[2015-08-01 22:01:49] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:01:55] ishana, joining. (#selenium)
[2015-08-01 22:02:34] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:02:41] ishana, joining. (#selenium)
[2015-08-01 22:03:19] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:03:26] ishana, joining. (#selenium)
[2015-08-01 22:04:04] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:04:11] ishana, joining. (#selenium)
[2015-08-01 22:04:49] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:04:56] ishana_, joining. (#selenium)
[2015-08-01 22:05:34] ishana_, quitting. (Remote host closed the connection)
[2015-08-01 22:05:41] ishana, joining. (#selenium)
[2015-08-01 22:06:19] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:06:25] ishana, joining. (#selenium)
[2015-08-01 22:07:04] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:07:11] ishana, joining. (#selenium)
[2015-08-01 22:07:50] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:08:07] ishana, joining. (#selenium)
[2015-08-01 22:08:35] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:08:41] ishana, joining. (#selenium)
[2015-08-01 22:09:20] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:09:26] ishana, joining. (#selenium)
[2015-08-01 22:10:05] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:10:13] ishana, joining. (#selenium)
[2015-08-01 22:10:52] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:10:59] ishana, joining. (#selenium)
[2015-08-01 22:11:37] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:11:44] ishana, joining. (#selenium)
[2015-08-01 22:12:22] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:12:29] ishana, joining. (#selenium)
[2015-08-01 22:13:07] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:13:14] ishana, joining. (#selenium)
[2015-08-01 22:13:52] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:13:59] ishana, joining. (#selenium)
[2015-08-01 22:14:37] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:14:50] ishana, joining. (#selenium)
[2015-08-01 22:15:22] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:15:29] ishana, joining. (#selenium)
[2015-08-01 22:16:07] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:16:14] ishana, joining. (#selenium)
[2015-08-01 22:16:52] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:17:09] ishana, joining. (#selenium)
[2015-08-01 22:17:37] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:17:45] ishana, joining. (#selenium)
[2015-08-01 22:18:24] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:18:37] ishana, joining. (#selenium)
[2015-08-01 22:19:09] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:19:15] ishana, joining. (#selenium)
[2015-08-01 22:19:54] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:20:01] ishana, joining. (#selenium)
[2015-08-01 22:20:39] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:20:46] ishana, joining. (#selenium)
[2015-08-01 22:21:24] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:21:31] ishana, joining. (#selenium)
[2015-08-01 22:22:09] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:22:16] ishana, joining. (#selenium)
[2015-08-01 22:22:54] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:23:01] ishana, joining. (#selenium)
[2015-08-01 22:23:39] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:23:48] ishana, joining. (#selenium)
[2015-08-01 22:24:27] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:24:33] ishana, joining. (#selenium)
[2015-08-01 22:25:12] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:25:18] ishana, joining. (#selenium)
[2015-08-01 22:25:57] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:26:05] ishana, joining. (#selenium)
[2015-08-01 22:26:44] ishana, quitting. (Remote host closed the connection)
[2015-08-01 22:26:50] ishana, joining. (#selenium)
