[2013-12-25 04:41:28] DrJenkin_, quitting. (Ping timeout: 240 seconds)
[2013-12-25 04:42:02] DrJenkins, joining. (#selenium)
[2013-12-25 04:46:40] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 04:46:53] DrJenkins, joining. (#selenium)
[2013-12-25 04:49:11] richdownie, quitting. (Quit: richdownie)
[2013-12-25 04:51:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 04:51:33] DrJenkins, joining. (#selenium)
[2013-12-25 04:55:56] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 04:56:12] DrJenkins, joining. (#selenium)
[2013-12-25 04:58:52] tony1, joining. (#selenium)
[2013-12-25 05:00:53] DrJenkin_, joining. (#selenium)
[2013-12-25 05:01:19] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 05:03:01] tony1, quitting. (Ping timeout: 248 seconds)
[2013-12-25 05:05:09] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-25 05:05:28] DrJenkins, joining. (#selenium)
[2013-12-25 05:09:43] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 05:10:10] DrJenkins, joining. (#selenium)
[2013-12-25 05:14:45] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-25 05:14:47] DrJenkin_, joining. (#selenium)
[2013-12-25 05:19:20] DrJenkin_, quitting. (Ping timeout: 260 seconds)
[2013-12-25 05:19:28] DrJenkins, joining. (#selenium)
[2013-12-25 05:23:59] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-25 05:24:10] DrJenkins, joining. (#selenium)
[2013-12-25 05:28:37] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 05:28:47] DrJenkins, joining. (#selenium)
[2013-12-25 05:33:14] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 05:33:30] DrJenkins, joining. (#selenium)
[2013-12-25 05:38:13] DrJenkin_, joining. (#selenium)
[2013-12-25 05:38:41] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 05:42:50] DrJenkins, joining. (#selenium)
[2013-12-25 05:43:07] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-25 05:45:53] tony1, joining. (#selenium)
[2013-12-25 05:47:08] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 05:47:34] DrJenkins, joining. (#selenium)
[2013-12-25 05:50:19] tony1, quitting. (Ping timeout: 246 seconds)
[2013-12-25 05:52:04] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-25 05:52:11] DrJenkins, joining. (#selenium)
[2013-12-25 05:56:23] tony1, joining. (#selenium)
[2013-12-25 05:56:37] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 05:56:50] DrJenkins, joining. (#selenium)
[2013-12-25 06:01:07] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 06:01:30] tony1, quitting. (Ping timeout: 272 seconds)
[2013-12-25 06:01:31] DrJenkins, joining. (#selenium)
[2013-12-25 06:06:12] DrJenkin_, joining. (#selenium)
[2013-12-25 06:06:33] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 06:10:25] DrJenkin_, quitting. (Ping timeout: 241 seconds)
[2013-12-25 06:10:54] DrJenkins, joining. (#selenium)
[2013-12-25 06:15:02] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 06:15:30] DrJenkins, joining. (#selenium)
[2013-12-25 06:18:54] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 06:20:11] DrJenkins, joining. (#selenium)
[2013-12-25 06:24:49] DrJenkin_, joining. (#selenium)
[2013-12-25 06:24:55] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 06:29:25] DrJenkin_, quitting. (Ping timeout: 248 seconds)
[2013-12-25 06:29:32] DrJenkins, joining. (#selenium)
[2013-12-25 06:30:17] stackedsax1, joining. (#selenium)
[2013-12-25 06:31:08] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 06:34:12] DrJenkins, joining. (#selenium)
[2013-12-25 06:38:51] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 06:39:14] DrJenkins, joining. (#selenium)
[2013-12-25 06:43:31] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 06:43:49] DrJenkins, joining. (#selenium)
[2013-12-25 06:48:06] DrJenkins, quitting. (Ping timeout: 248 seconds)
[2013-12-25 06:48:30] DrJenkins, joining. (#selenium)
[2013-12-25 06:53:08] DrJenkins, quitting. (Ping timeout: 260 seconds)
[2013-12-25 06:53:12] DrJenkin_, joining. (#selenium)
[2013-12-25 06:57:08] tony1, joining. (#selenium)
[2013-12-25 06:57:30] DrJenkin_, quitting. (Read error: Connection reset by peer)
[2013-12-25 06:57:50] DrJenkins, joining. (#selenium)
[2013-12-25 07:00:13] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 07:02:02] tony1, quitting. (Ping timeout: 264 seconds)
[2013-12-25 07:02:31] DrJenkins, joining. (#selenium)
[2013-12-25 07:06:45] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 07:07:14] DrJenkins, joining. (#selenium)
[2013-12-25 07:11:31] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 07:11:52] DrJenkins, joining. (#selenium)
[2013-12-25 07:15:40] stan, quitting. (Ping timeout: 261 seconds)
[2013-12-25 07:16:14] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 07:16:30] DrJenkins, joining. (#selenium)
[2013-12-25 07:20:38] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-25 07:21:11] DrJenkins, joining. (#selenium)
[2013-12-25 07:22:39] jrgill, quitting. (Ping timeout: 240 seconds)
[2013-12-25 07:23:44] jrgill, joining. (#selenium)
[2013-12-25 07:24:26] DrJenkins, quitting. (Read error: Operation timed out)
[2013-12-25 07:25:48] DrJenkins, joining. (#selenium)
