[2013-12-30 05:24:05] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 05:24:38] DrJenkins, joining. (#selenium)
[2013-12-30 05:27:17] zeljkof, quitting. (Ping timeout: 272 seconds)
[2013-12-30 05:28:52] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 05:29:18] DrJenkins, joining. (#selenium)
[2013-12-30 05:33:33] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-30 05:33:56] DrJenkins, joining. (#selenium)
[2013-12-30 05:35:50] drharmony, joining. (#selenium)
[2013-12-30 05:38:42] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 05:38:53] rananda, quitting. (Ping timeout: 245 seconds)
[2013-12-30 05:38:57] DrJenkins, joining. (#selenium)
[2013-12-30 05:40:51] brma, quitting. (Remote host closed the connection)
[2013-12-30 05:43:00] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-30 05:43:19] DrJenkins, joining. (#selenium)
[2013-12-30 05:47:34] brma, joining. (#selenium)
[2013-12-30 05:47:41] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 05:47:57] DrJenkins, joining. (#selenium)
[2013-12-30 05:52:16] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-30 05:52:38] DrJenkins, joining. (#selenium)
[2013-12-30 05:57:08] DrJenkins, quitting. (Ping timeout: 252 seconds)
[2013-12-30 05:57:23] DrJenkins, joining. (#selenium)
[2013-12-30 06:01:48] DrJenkins, quitting. (Ping timeout: 245 seconds)
[2013-12-30 06:02:08] DrJenkins, joining. (#selenium)
[2013-12-30 06:05:18] richdownie, quitting. (Ping timeout: 272 seconds)
[2013-12-30 06:05:37] richdownie, joining. (#selenium)
[2013-12-30 06:06:35] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-30 06:06:36] riotz, quitting. (Ping timeout: 265 seconds)
[2013-12-30 06:06:49] DrJenkins, joining. (#selenium)
[2013-12-30 06:08:18] riotz, joining. (#selenium)
[2013-12-30 06:11:18] SamuraiJack_, quitting. (Read error: Operation timed out)
[2013-12-30 06:11:37] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-30 06:16:10] DrJenkins, joining. (#selenium)
[2013-12-30 06:18:21] zeljkof_, quitting. (Remote host closed the connection)
[2013-12-30 06:18:37] zeljkof, joining. (#selenium)
[2013-12-30 06:20:23] plightbo_work, joining. (#selenium)
[2013-12-30 06:20:37] DrJenkins, quitting. (Ping timeout: 265 seconds)
[2013-12-30 06:20:54] DrJenkins, joining. (#selenium)
[2013-12-30 06:24:38] plightbo_work, quitting. (Ping timeout: 252 seconds)
[2013-12-30 06:25:03] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-30 06:25:34] DrJenkins, joining. (#selenium)
[2013-12-30 06:29:19] zeljkof, quitting. (Ping timeout: 265 seconds)
[2013-12-30 06:29:43] DrJenkins, quitting. (Ping timeout: 246 seconds)
[2013-12-30 06:30:12] DrJenkins, joining. (#selenium)
[2013-12-30 06:30:31] stackedsax, joining. (#selenium)
[2013-12-30 06:33:14] simplex_, joining. (#selenium)
[2013-12-30 06:34:05] jack090, joining. (#selenium)
[2013-12-30 06:34:28] DrJenkins, quitting. (Read error: Connection reset by peer)
