[2013-06-30 14:15:47] o3u, joining. (#selenium)
[2013-06-30 14:16:04] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-30 14:18:46] Turzai, joining. (#selenium)
[2013-06-30 14:21:23] ShawnM, joining. (#selenium)
[2013-06-30 14:22:42] gittish, quitting. (Quit: gittish)
[2013-06-30 14:22:54] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 14:28:02] detronizator, quitting. (Remote host closed the connection)
[2013-06-30 14:29:46] gates_, quitting. ()
[2013-06-30 14:30:16] gates, joining. (#selenium)
[2013-06-30 14:38:45] gittish, joining. (#selenium)
[2013-06-30 14:45:45] gittish, quitting. (Quit: gittish)
[2013-06-30 14:53:35] gittish, joining. (#selenium)
[2013-06-30 14:54:53] o3u, quitting. (Ping timeout: 240 seconds)
[2013-06-30 14:56:27] o3u, joining. (#selenium)
[2013-06-30 14:59:45] jost, quitting. (Quit: jost)
[2013-06-30 15:05:23] Swadq, joining. (#selenium)
[2013-06-30 15:07:09] phishy, joining. (#selenium)
[2013-06-30 15:07:10] phishy, quitting. (Max SendQ exceeded)
[2013-06-30 15:07:47] phishy, joining. (#selenium)
[2013-06-30 15:07:48] phishy, quitting. (Max SendQ exceeded)
[2013-06-30 15:08:01] noahsussman, joining. (#selenium)
[2013-06-30 15:08:26] phishy, joining. (#selenium)
[2013-06-30 15:16:29] noahsussman, quitting. (Ping timeout: 252 seconds)
[2013-06-30 15:20:20] gittish, quitting. (Quit: gittish)
[2013-06-30 15:29:15] ShawnM, joining. (#selenium)
[2013-06-30 15:33:46] ShawnM, quitting. (Remote host closed the connection)
[2013-06-30 15:41:30] ShawnM, joining. (#selenium)
[2013-06-30 15:43:14] Swadq, quitting. (Quit: Swadq)
[2013-06-30 15:50:27] tobie, quitting. (Quit: tobie)
[2013-06-30 15:53:09] ej, joining. (#selenium)
[2013-06-30 15:55:21] ryanpetrello, joining. (#selenium)
