[2013-06-29 16:34:19] silne30, quitting. (Client Quit)
[2013-06-29 16:34:57] silne30, joining. (#selenium)
[2013-06-29 16:41:18] silne30, quitting. (Quit: Konversation terminated!)
[2013-06-29 16:41:30] silne30, joining. (#selenium)
[2013-06-29 16:42:23] jimpurbrick1, joining. (#selenium)
[2013-06-29 16:45:09] jimpurbrick, quitting. (Ping timeout: 246 seconds)
[2013-06-29 17:13:28] hirani, quitting. (Quit: Leaving.)
[2013-06-29 17:14:01] pa, quitting. (Ping timeout: 248 seconds)
[2013-06-29 17:25:11] davidlai, leaving. (#selenium)
[2013-06-29 17:37:32] pa, joining. (#selenium)
[2013-06-29 17:40:40] nsussman, quitting. (Remote host closed the connection)
[2013-06-29 17:59:51] hirani, joining. (#selenium)
[2013-06-29 17:59:52] hirani, leaving. (#selenium)
[2013-06-29 18:04:53] ShawnM, joining. (#selenium)
[2013-06-29 18:11:10] noahsussman, joining. (#selenium)
[2013-06-29 18:15:02] jarib, quitting. (Ping timeout: 240 seconds)
[2013-06-29 18:15:56] jarib, joining. (#selenium)
[2013-06-29 18:20:01] noahsussman, quitting. (Read error: Operation timed out)
[2013-06-29 18:24:19] ej, joining. (#selenium)
[2013-06-29 18:28:41] ej, quitting. (Ping timeout: 248 seconds)
[2013-06-29 18:32:49] p0deje, joining. (#selenium)
[2013-06-29 18:34:33] ej, joining. (#selenium)
[2013-06-29 18:34:58] p0deje, quitting. (Read error: Operation timed out)
[2013-06-29 18:38:54] ej, quitting. (Ping timeout: 246 seconds)
[2013-06-29 18:53:14] SamuraiJack_, joining. (#selenium)
[2013-06-29 18:53:25] ryanpetrello, joining. (#selenium)
[2013-06-29 18:56:36] noahsussman, joining. (#selenium)
[2013-06-29 19:10:34] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-29 19:27:23] ShawnM, quitting. (Remote host closed the connection)
[2013-06-29 19:37:29] p0deje, joining. (#selenium)
