[2013-06-02 20:29:58] DarkRift, quitting. (Ping timeout: 276 seconds)
[2013-06-02 20:52:57] p0deje, quitting. (Quit: p0deje)
[2013-06-02 20:54:14] ryanpetrello, joining. (#selenium)
[2013-06-02 21:01:02] smccarthy, quitting. (Remote host closed the connection)
[2013-06-02 21:14:20] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-02 21:18:08] Turzai, joining. (#selenium)
[2013-06-02 21:50:45] kallisti, quitting. (Ping timeout: 248 seconds)
[2013-06-02 21:53:58] ryanpetrello, joining. (#selenium)
[2013-06-02 22:03:54] nirvdrum, quitting. (Ping timeout: 256 seconds)
[2013-06-02 22:07:50] awilson820, joining. (#selenium)
[2013-06-02 22:14:05] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-02 22:17:48] ShawnM, quitting. (Remote host closed the connection)
[2013-06-02 22:20:51] stephend, quitting. (Remote host closed the connection)
[2013-06-02 22:27:42] Turzai, quitting. (Ping timeout: 264 seconds)
[2013-06-02 22:56:07] ShawnM, joining. (#selenium)
[2013-06-02 22:59:07] Manoj9788, joining. (#selenium)
[2013-06-02 22:59:36] Manoj9788: hi all
[2013-06-02 23:00:11] Turzai, joining. (#selenium)
[2013-06-02 23:03:12] p0deje, joining. (#selenium)
[2013-06-02 23:04:45] Turzai, quitting. (Ping timeout: 252 seconds)
[2013-06-02 23:09:41] jacksoncage, joining. (#selenium)
[2013-06-02 23:12:34] awilson820, quitting. (Remote host closed the connection)
[2013-06-02 23:16:46] rananda, joining. (#selenium)
[2013-06-02 23:21:35] tinygeo, quitting. (Quit: Leaving.)
[2013-06-02 23:43:21] ddary, joining. (#selenium)
[2013-06-02 23:44:54] jacksoncage, quitting. ()
[2013-06-02 23:53:55] vila, quitting. (Remote host closed the connection)
[2013-06-02 23:57:41] elopio, quitting. (Ping timeout: 240 seconds)
