[2013-06-23 13:59:20] barancev|2, joining. (#selenium)
[2013-06-23 13:59:21] barancev, quitting. (Read error: Connection reset by peer)
[2013-06-23 14:00:45] barancev, joining. (#selenium)
[2013-06-23 14:03:41] barancev|2, quitting. (Ping timeout: 246 seconds)
[2013-06-23 14:17:10] jimpurbrick, joining. (#selenium)
[2013-06-23 14:21:43] jimpurbrick, quitting. (Ping timeout: 248 seconds)
[2013-06-23 14:29:31] smccarthy, quitting. (Remote host closed the connection)
[2013-06-23 14:30:54] jimpurbrick, joining. (#selenium)
[2013-06-23 14:34:25] ShawnM, joining. (#selenium)
[2013-06-23 14:43:44] tourdedave, joining. (#selenium)
[2013-06-23 14:48:37] gittish, joining. (#selenium)
[2013-06-23 14:56:23] whhone, joining. (#selenium)
[2013-06-23 15:03:50] Turzai, joining. (#selenium)
[2013-06-23 15:06:08] adamgoucher, joining. (#selenium)
[2013-06-23 15:06:24] Dude-X, quitting. (Quit: Dude-X)
[2013-06-23 15:07:16] detronizator, quitting. (Remote host closed the connection)
[2013-06-23 15:07:57] plightbo_work, joining. (#selenium)
[2013-06-23 15:12:15] plightbo_work, quitting. (Ping timeout: 246 seconds)
[2013-06-23 15:19:12] tobie, quitting. (Quit: tobie)
[2013-06-23 15:25:44] jibay, quitting. (Remote host closed the connection)
[2013-06-23 15:26:56] ShawnM, quitting. (Remote host closed the connection)
[2013-06-23 15:39:01] detronizator, joining. (#selenium)
[2013-06-23 15:42:17] richdownie, joining. (#selenium)
[2013-06-23 15:42:42] detronizator, quitting. (Remote host closed the connection)
[2013-06-23 15:43:14] detronizator, joining. (#selenium)
[2013-06-23 15:47:24] adamgoucher, quitting. (Quit: adamgoucher)
[2013-06-23 15:48:01] detronizator, quitting. (Ping timeout: 264 seconds)
[2013-06-23 16:04:26] ShawnM, joining. (#selenium)
[2013-06-23 16:06:53] Turzai, quitting. (Ping timeout: 246 seconds)
[2013-06-23 16:12:15] ShawnM, quitting. (Ping timeout: 268 seconds)
[2013-06-23 16:17:37] gittish, quitting. (Quit: gittish)
[2013-06-23 16:24:42] brettporter, joining. (#selenium)
[2013-06-23 16:38:30] ShawnM, joining. (#selenium)
[2013-06-23 16:38:34] plightbo_work, joining. (#selenium)
[2013-06-23 16:38:45] richdownie, quitting. (Quit: richdownie)
[2013-06-23 16:39:28] cpt_jack, quitting. (Quit: Lost terminal)
[2013-06-23 16:39:39] mreedell-work, joining. (#selenium)
[2013-06-23 16:39:48] Silne30, joining. (#selenium)
[2013-06-23 16:43:26] plightbo_work, quitting. (Ping timeout: 256 seconds)
[2013-06-23 16:46:05] ShawnM, quitting. (Ping timeout: 255 seconds)
[2013-06-23 16:49:02] ryanpetrello, joining. (#selenium)
[2013-06-23 16:57:08] llaskin, joining. (#selenium)
[2013-06-23 17:00:53] richdownie, joining. (#selenium)
[2013-06-23 17:04:59] o3u, quitting. (Ping timeout: 255 seconds)
[2013-06-23 17:06:00] Turzai, joining. (#selenium)
[2013-06-23 17:09:25] admc, quitting. (Quit: Leaving.)
[2013-06-23 17:12:02] ShawnM, joining. (#selenium)
[2013-06-23 17:12:23] richdownie, quitting. (Quit: richdownie)
[2013-06-23 17:16:05] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-23 17:16:23] ShawnM, quitting. (Read error: No route to host)
[2013-06-23 17:16:55] ShawnM, joining. (#selenium)
[2013-06-23 17:24:12] JackDandy, quitting. (Ping timeout: 252 seconds)
[2013-06-23 17:25:54] mreedell-work, quitting. (Quit: Computer has gone to sleep.)
[2013-06-23 17:25:57] JackDandy, joining. (#selenium)
[2013-06-23 17:36:00] ryanpetrello, joining. (#selenium)
[2013-06-23 17:37:41] ryanpetrello, quitting. (Remote host closed the connection)
[2013-06-23 17:39:12] plightbo_work, joining. (#selenium)
[2013-06-23 17:41:29] richdownie, joining. (#selenium)
[2013-06-23 17:43:30] plightbo_work, quitting. (Ping timeout: 256 seconds)
[2013-06-23 17:43:51] jezuz, joining. (#selenium)
[2013-06-23 17:50:30] kmder, joining. (#selenium)
[2013-06-23 17:50:46] kmder, leaving. (#selenium)
[2013-06-23 17:53:52] Oscar1, quitting. (Quit: Leaving.)
[2013-06-23 17:53:59] Oscar, joining. (#selenium)
[2013-06-23 17:57:18] stackedsax2, quitting. (Quit: Leaving.)
[2013-06-23 17:59:37] stackedsax, joining. (#selenium)
[2013-06-23 18:01:56] ShawnM, quitting. (Remote host closed the connection)
[2013-06-23 18:04:50] Turzai, quitting. (Ping timeout: 246 seconds)
[2013-06-23 18:10:36] ShawnM, joining. (#selenium)
[2013-06-23 18:12:21] LennyLinux, quitting. (Remote host closed the connection)
[2013-06-23 18:12:22] o3u, joining. (#selenium)
[2013-06-23 18:12:29] ShawnM, quitting. (Remote host closed the connection)
[2013-06-23 18:12:35] farlan, leaving. (#selenium)
[2013-06-23 18:14:21] richdownie, quitting. (Quit: richdownie)
[2013-06-23 18:16:08] Todd, quitting. (Read error: Operation timed out)
[2013-06-23 18:17:23] stackedsax, quitting. (Quit: Leaving.)
