[2015-09-05 21:03:01] kggr, quitting. (Ping timeout: 246 seconds)
[2015-09-05 21:04:08] swamix, quitting. (Ping timeout: 272 seconds)
[2015-09-05 21:27:52] kriskropd, quitting. (Ping timeout: 246 seconds)
[2015-09-05 21:29:15] stongo, quitting. (Quit: Leaving.)
[2015-09-05 21:46:29] Somu, joining. (#selenium)
[2015-09-05 21:46:48] Somu: hi
[2015-09-05 21:48:49] Somu: anybody there?
[2015-09-05 21:51:23] korg, quitting. (Read error: Connection reset by peer)
[2015-09-05 21:53:14] lvanderpool, quitting. (Quit: WeeChat 1.1.1)
[2015-09-05 21:53:17] Somu_, joining. (#selenium)
[2015-09-05 21:55:09] Somu, quitting. (Ping timeout: 246 seconds)
[2015-09-05 21:58:19] Somu_, quitting. (Ping timeout: 246 seconds)
[2015-09-05 21:58:50] djinni, quitting. (K-Lined)
[2015-09-05 21:59:12] fullstack, quitting. (K-Lined)
[2015-09-05 22:00:30] djinni, joining. (#selenium)
[2015-09-05 22:00:40] fullstack, joining. (#selenium)
[2015-09-05 22:02:17] smccarthy, quitting. (Quit: Leaving...)
[2015-09-05 22:03:52] btulchinsky, quitting. ()
[2015-09-05 22:03:53] fullstack, quitting. (Changing host)
[2015-09-05 22:03:53] fullstack, joining. (#selenium)
[2015-09-05 22:12:41] btulchinsky, joining. (#selenium)
[2015-09-05 22:20:14] ET1, quitting. (Quit: Leaving.)
[2015-09-05 22:24:23] tango1, joining. (#selenium)
[2015-09-05 22:25:39] spence6245_, joining. (#selenium)
[2015-09-05 22:46:36] spence6245_, quitting. (Ping timeout: 246 seconds)
[2015-09-05 23:28:37] potatoes_, joining. (#selenium)
[2015-09-05 23:30:09] potatoes_, quitting. (Client Quit)
[2015-09-05 23:38:13] kriskropd, joining. (#selenium)
