[2015-06-20 13:45:27] tr_h, joining. (#selenium)
[2015-06-20 13:45:27] mushroomed_, joining. (#selenium)
[2015-06-20 13:45:27] staj, joining. (#selenium)
[2015-06-20 13:45:28] matt-b, joining. (#selenium)
[2015-06-20 13:45:46] ericmeds_, joining. (#selenium)
[2015-06-20 13:45:51] systemd0wn_, joining. (#selenium)
[2015-06-20 13:46:04] jgornick, quitting. (Max SendQ exceeded)
[2015-06-20 13:46:04] maxorator, quitting. (Max SendQ exceeded)
[2015-06-20 13:46:20] jgornick, joining. (#selenium)
[2015-06-20 13:48:29] paolo_, joining. (#selenium)
[2015-06-20 13:48:39] juggle, quitting. (Quit: Leaving)
[2015-06-20 13:49:49] maxorator, joining. (#selenium)
[2015-06-20 13:51:11] nicegraham______, joining. (#selenium)
[2015-06-20 13:51:37] aguynamedben, joining. (#selenium)
[2015-06-20 13:55:01] trauty, joining. (#selenium)
[2015-06-20 13:55:16] garndt, quitting. (*.net *.split)
[2015-06-20 13:55:16] zeljkof-away, quitting. (*.net *.split)
[2015-06-20 13:55:16] tourdedave, quitting. (*.net *.split)
[2015-06-20 13:55:17] systemd0wn, quitting. (*.net *.split)
[2015-06-20 13:55:17] ericmeds, quitting. (*.net *.split)
[2015-06-20 13:55:17] octomeow, quitting. (*.net *.split)
[2015-06-20 13:55:17] eghm, quitting. (*.net *.split)
[2015-06-20 13:55:17] gates, quitting. (*.net *.split)
[2015-06-20 13:55:17] hugs__, quitting. (*.net *.split)
[2015-06-20 13:55:18] mkaufman, quitting. (*.net *.split)
[2015-06-20 13:55:18] jabonacc1, quitting. (*.net *.split)
[2015-06-20 13:55:18] dregin, quitting. (*.net *.split)
[2015-06-20 13:55:18] paolo, quitting. (*.net *.split)
[2015-06-20 13:55:20] ericmeds_, changing nick to ericmeds.
[2015-06-20 13:55:43] octomeow, joining. (#selenium)
[2015-06-20 13:55:45] dregin, joining. (#selenium)
[2015-06-20 13:58:15] Tashi_, joining. (#selenium)
[2015-06-20 14:00:01] ghormoon, quitting. (Ping timeout: 255 seconds)
