[2013-07-06 21:55:11] plightbo_work, joining. (#selenium)
[2013-07-06 21:55:25] smccarthy2, joining. (#selenium)
[2013-07-06 21:58:56] smccarthy, quitting. (Ping timeout: 248 seconds)
[2013-07-06 22:09:32] SamuraiJack, quitting. (Ping timeout: 276 seconds)
[2013-07-06 22:11:30] ShawnM, joining. (#selenium)
[2013-07-06 22:13:02] SamuraiJack, joining. (#selenium)
[2013-07-06 22:15:52] smccarthy2, quitting. (Remote host closed the connection)
[2013-07-06 22:18:56] ShawnM, quitting. (Ping timeout: 264 seconds)
[2013-07-06 22:21:08] admc, joining. (#selenium)
[2013-07-06 22:29:54] SamuraiJack, quitting. (Read error: Operation timed out)
[2013-07-06 22:40:43] jleyba, quitting. (Quit: jleyba)
[2013-07-06 22:42:41] ShawnM, joining. (#selenium)
[2013-07-06 22:45:10] xinke2411, quitting. (Ping timeout: 256 seconds)
[2013-07-06 22:51:31] towski, joining. (#selenium)
[2013-07-06 22:56:10] plightbo_work, quitting. (Remote host closed the connection)
[2013-07-06 22:56:36] plightbo_work, joining. (#selenium)
[2013-07-06 22:59:52] xinke2411, joining. (#selenium)
[2013-07-06 23:01:16] xinke2411, quitting. (Client Quit)
[2013-07-06 23:01:18] plightbo_work, quitting. (Ping timeout: 256 seconds)
[2013-07-06 23:01:40] xinke2411, joining. (#selenium)
[2013-07-06 23:09:26] stepheneb, quitting. (Quit: stepheneb)
[2013-07-06 23:11:33] brettporter, joining. (#selenium)
[2013-07-06 23:35:19] farlan1, joining. (#selenium)
[2013-07-06 23:35:44] admc1, joining. (#selenium)
[2013-07-06 23:35:54] o3u_, joining. (#selenium)
[2013-07-06 23:35:55] eghm_, joining. (#selenium)
[2013-07-06 23:38:54] kvodlecks, joining. (#selenium)
[2013-07-06 23:42:47] djinni_, joining. (#selenium)
[2013-07-06 23:43:55] admc, quitting. (*.net *.split)
[2013-07-06 23:43:55] o3u, quitting. (*.net *.split)
[2013-07-06 23:43:56] djinni, quitting. (*.net *.split)
[2013-07-06 23:43:56] dregin, quitting. (*.net *.split)
[2013-07-06 23:43:56] Qwadlex, quitting. (*.net *.split)
[2013-07-06 23:43:57] eghm, quitting. (*.net *.split)
[2013-07-06 23:49:25] plightbo_work, joining. (#selenium)
[2013-07-06 23:50:08] plightb__, joining. (#selenium)
[2013-07-06 23:50:08] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 23:50:42] dregin, joining. (#selenium)
[2013-07-06 23:50:42] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 23:50:50] plightbo_work, joining. (#selenium)
[2013-07-06 23:51:38] plightb__, joining. (#selenium)
[2013-07-06 23:51:39] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 23:52:22] plightbo_work, joining. (#selenium)
[2013-07-06 23:52:23] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 23:53:03] plightb__, joining. (#selenium)
[2013-07-06 23:53:04] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 23:53:39] plightbo_work, joining. (#selenium)
[2013-07-06 23:53:39] plightb__, quitting. (Read error: Connection reset by peer)
[2013-07-06 23:54:20] plightb__, joining. (#selenium)
[2013-07-06 23:54:21] plightbo_work, quitting. (Read error: Connection reset by peer)
[2013-07-06 23:55:02] plightbo_work, joining. (#selenium)
[2013-07-06 23:55:02] plightb__, quitting. (Read error: Connection reset by peer)
