[2015-05-23 22:39:53] gabecase, joining. (#selenium)
[2015-05-23 22:59:54] kggr, joining. (#selenium)
[2015-05-23 23:03:25] sbos99, quitting. (Ping timeout: 246 seconds)
[2015-05-23 23:05:41] korg, joining. (#selenium)
[2015-05-23 23:08:17] smccarthy, quitting. (Quit: Leaving...)
[2015-05-23 23:09:18] kggr, quitting. (Ping timeout: 252 seconds)
[2015-05-23 23:09:50] sbos99, joining. (#selenium)
[2015-05-23 23:11:30] korg, quitting. (Ping timeout: 252 seconds)
[2015-05-23 23:23:12] sbos99, quitting. (Ping timeout: 250 seconds)
[2015-05-23 23:29:48] gabecase, quitting. (Remote host closed the connection)
[2015-05-23 23:35:52] gabecase, joining. (#selenium)
[2015-05-23 23:50:06] gabecase, quitting. (Remote host closed the connection)
[2015-05-23 23:52:35] rorycb, joining. (#selenium)
[2015-05-23 23:57:24] rorycb, quitting. (Ping timeout: 265 seconds)
