[2013-08-03 18:09:44] sibichakravarthy, joining. (#selenium)
[2013-08-03 18:13:22] sibichakravart-1, joining. (#selenium)
[2013-08-03 18:13:53] sibichakravarthy, quitting. (Ping timeout: 245 seconds)
[2013-08-03 18:14:31] sibichakravart-1, quitting. (Client Quit)
[2013-08-03 18:44:46] schweens, joining. (#selenium)
[2013-08-03 18:51:37] barancev, joining. (#selenium)
[2013-08-03 18:51:37] barancev|2, quitting. (Read error: Connection reset by peer)
[2013-08-03 18:54:24] barancev|2, joining. (#selenium)
[2013-08-03 18:56:46] barancev, quitting. (Ping timeout: 246 seconds)
[2013-08-03 19:30:52] sibichakravarthy, joining. (#selenium)
[2013-08-03 19:39:18] sibichakravarthy, quitting. (Ping timeout: 264 seconds)
[2013-08-03 19:47:56] EvilAww, quitting. (Quit: ZNC - http://znc.in)
[2013-08-03 19:48:21] EvilAww, joining. (#selenium)
[2013-08-03 19:49:39] sibichakravarthy, joining. (#selenium)
[2013-08-03 20:05:41] sibichakravarthy, quitting. (Read error: Connection timed out)
[2013-08-03 20:07:44] sibichakravarthy, joining. (#selenium)
[2013-08-03 20:09:24] Dude-X_, quitting. (Ping timeout: 276 seconds)
[2013-08-03 20:11:37] Dude-X_, joining. (#selenium)
[2013-08-03 20:53:47] brettporter, joining. (#selenium)
[2013-08-03 21:02:52] sibichakravarthy, quitting. (Quit: sibichakravarthy)
[2013-08-03 21:03:55] stackedsax1, joining. (#selenium)
[2013-08-03 21:06:20] sibichakravarthy, joining. (#selenium)
[2013-08-03 21:10:28] sibichakravarthy, quitting. (Client Quit)
[2013-08-03 21:20:15] kallisti, quitting. (Ping timeout: 276 seconds)
[2013-08-03 21:24:56] brettporter, quitting. (Quit: brettporter)
[2013-08-03 21:59:38] kallisti, joining. (#selenium)
[2013-08-03 23:22:02] kallisti, quitting. (Ping timeout: 240 seconds)
[2013-08-03 23:23:40] kallisti, joining. (#selenium)
[2013-08-03 23:23:40] kallisti, quitting. (Changing host)
[2013-08-03 23:23:40] kallisti, joining. (#selenium)
[2013-08-03 23:27:59] rstrazhnyk, joining. (#selenium)
[2013-08-03 23:34:37] RoySegall, joining. (#selenium)
[2013-08-03 23:34:58] RoySegall: hello, any one here?
[2013-08-03 23:48:19] RoySegall: I have a quick question
[2013-08-03 23:56:38] rstrazhnyk, quitting. (Quit: Leaving.)
