[2014-09-15 07:34:16] talexb: WhereIsMySpoon, AH! Excellent. Now I know. Thanks.
[2014-09-15 07:34:19] WhereIsMySpoon: https://code.google.com/p/selenium/issues/detail?id=4867
[2014-09-15 07:34:22] talexb: I appreciate it. :)
[2014-09-15 07:34:45] WhereIsMySpoon: np, though its the first result I got from google :D
[2014-09-15 07:35:18] talexb: I used DuckDuckGo and Google but didn't find anything. I knew IRC would come through for me. Thanks again! :)
[2014-09-15 07:35:27] talexb: WhereIsMySpoon++
[2014-09-15 07:35:33] WhereIsMySpoon: no karma system here
[2014-09-15 07:35:37] WhereIsMySpoon: but thanks all the same
[2014-09-15 07:35:42] dude-x__, quitting. (Remote host closed the connection)
[2014-09-15 07:35:55] dude-x, quitting. (Ping timeout: 272 seconds)
[2014-09-15 07:35:58] talexb: :) I'm usually on #perl .. just following the protocol I know ..
[2014-09-15 07:36:07] WhereIsMySpoon: talexb:fyi I searched for "you appear to be switching domains selenium" in google :D
[2014-09-15 07:36:22] WhereIsMySpoon: talexb: no worries :)
[2014-09-15 07:38:49] talexb: And if I look at docs.seleniumhq.org/projects/webdriver/ -- there it is in black and white. "WebDriver overcomes the limitation of Selenium Rc's Single Host origin policy"
[2014-09-15 07:39:20] WhereIsMySpoon: there you are
[2014-09-15 07:39:26] WhereIsMySpoon: ugh stupid client
[2014-09-15 07:39:27] WhereIsMySpoon: T_T
[2014-09-15 07:39:31] WhereIsMySpoon: didnt mean to double send that
[2014-09-15 07:39:54] WhereIsMySpoon: but yea, RC has a lot of limitations
[2014-09-15 07:41:18] ramprasad, joining. (#selenium)
[2014-09-15 07:41:46] selbot2__: 04 Open issues: 819
[2014-09-15 07:43:01] cristi, joining. (#selenium)
[2014-09-15 07:48:38] antsanto, quitting. (Ping timeout: 250 seconds)
[2014-09-15 07:55:00] amit_341, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2014-09-15 07:55:55] RexButler, joining. (#selenium)
[2014-09-15 07:58:28] dude-x, joining. (#selenium)
[2014-09-15 08:05:57] antsanto, joining. (#selenium)
[2014-09-15 08:06:28] smccarthy, quitting. (Quit: Leaving...)
[2014-09-15 08:08:05] nirvdrum, joining. (#selenium)
[2014-09-15 08:08:47] nirvdrum, quitting. (Remote host closed the connection)
[2014-09-15 08:09:09] nirvdrum, joining. (#selenium)
[2014-09-15 08:10:10] nirvdrum, quitting. (Changing host)
[2014-09-15 08:10:10] nirvdrum, joining. (#selenium)
[2014-09-15 08:10:37] joshin4colours: general question: anything new/fixed in webdriver 2.43.0 for Java?
